Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-1.71155E-6,-2.92438E-6,-1.15643E-5,-3.89089E-5,-0.01254
10^4,-1.71387E-6,-2.9517E-6,-1.17653E-5,-4.23816E-5,-0.01275
10^4,-1.71778E-6,-2.96866E-6,-1.19744E-5,-4.61438E-5,-0.01298
10^4,-1.71954E-6,-2.97611E-6,-1.21798E-5,-5.01703E-5,-0.01327
10^4,-3.01459E-6,-3.01459E-6,-1.67845E-5,-7.52874E-5,-0.01264
10^4,-2.90202E-6,-2.90202E-6,-1.4997E-5,-6.83535E-5,-0.01183
10^4,-2.84228E-6,-2.84228E-6,-1.38643E-5,-6.29624E-5,-0.0117
10^4,-2.79658E-6,-2.79658E-6,-1.30244E-5,-5.84219E-5,-0.01157
10^4,-2.76258E-6,-2.76258E-6,-1.23921E-5,-5.43955E-5,-0.01136
10^4,-2.72829E-6,-2.72829E-6,-1.18722E-5,-5.07983E-5,-0.01116
10^4,-2.70837E-6,-2.70837E-6,-1.14027E-5,-4.74557E-5,-0.01101
10^4,-2.67442E-6,-2.67442E-6,-1.10276E-5,-4.42411E-5,-0.01077
10^4,-2.65053E-6,-2.65053E-6,-1.06662E-5,-4.11219E-5,-0.01053
10^4,-2.63042E-6,-2.63042E-6,-1.04912E-5,-3.80333E-5,-0.01031
10^4,-2.6112E-6,-2.6112E-6,-1.03317E-5,-3.49742E-5,-0.01007
10^4,-2.58889E-6,-2.58889E-6,-1.00387E-5,-3.20177E-5,-0.00984
10^4,-2.57923E-6,-2.57923E-6,-9.51857E-6,-2.91472E-5,-0.00962
10^4,-2.56161E-6,-2.56161E-6,-9.264E-6,-2.64492E-5,-0.0094
10^4,-2.54387E-6,-2.54387E-6,-9.01231E-6,-2.39381E-5,-0.00917
10^4,-2.53075E-6,-2.53075E-6,-8.78482E-6,-2.16323E-5,-0.00894
10^4,-2.50853E-6,-2.50853E-6,-8.56676E-6,-1.95242E-5,-0.00872
10^4,-2.48962E-6,-2.48962E-6,-8.38961E-6,-1.7613E-5,-0.00853
10^4,-2.48058E-6,-2.48058E-6,-8.17451E-6,-1.57689E-5,-0.00833
10^4,-2.4689E-6,-2.4689E-6,-7.96899E-6,-1.42697E-5,-0.00813
10^4,-2.45251E-6,-2.45251E-6,-7.76801E-6,-1.29424E-5,-0.00792
10^4,-2.44108E-6,-2.44108E-6,-7.57344E-6,-1.17663E-5,-0.00773
10^4,-2.42785E-6,-2.42785E-6,-7.39446E-6,-1.0721E-5,-0.00753
10^4,-2.40481E-6,-2.40481E-6,-7.21132E-6,-1.00589E-5,-0.00732
10^4,-2.39906E-6,-2.39906E-6,-7.04065E-6,-1.03442E-5,-0.00713
10^4,-2.38729E-6,-2.38729E-6,-6.88062E-6,-8.2001E-6,-0.00694
10^4,-2.3787E-6,-2.3787E-6,-6.71685E-6,-7.5119E-6,-0.00688
10^4,-2.35712E-6,-2.35712E-6,-6.55776E-6,-6.91555E-6,-0.00674
10^4,-2.34801E-6,-2.34801E-6,-6.39414E-6,-6.39424E-6,-0.00657
10^4,-2.33586E-6,-2.33586E-6,-6.23143E-6,-5.9487E-6,-0.00638
10^4,-2.32859E-6,-2.32859E-6,-6.09126E-6,-5.5218E-6,-0.00619
10^4,-2.31907E-6,-2.31907E-6,-5.94637E-6,-5.13772E-6,-0.00599
10^4,-2.29701E-6,-2.29701E-6,-5.80049E-6,-4.78798E-6,-0.0058
10^4,-2.28803E-6,-2.28803E-6,-5.64075E-6,-4.45351E-6,-0.00561
10^4,-2.27033E-6,-2.27033E-6,-5.50314E-6,-4.1631E-6,-0.00543
10^4,-2.26377E-6,-2.26377E-6,-5.40044E-6,-3.90828E-6,-0.00525
10^4,-2.25108E-6,-2.25108E-6,-5.26074E-6,-3.65086E-6,-0.00507
10^4,-2.23769E-6,-2.23769E-6,-5.12078E-6,-3.38204E-6,-0.00488
10^4,-2.23049E-6,-2.23049E-6,-4.98738E-6,-3.14982E-6,-0.0047
10^4,-2.22271E-6,-2.22271E-6,-4.85509E-6,-2.91574E-6,-0.00452
10^4,-2.20443E-6,-2.20443E-6,-4.73797E-6,-2.67523E-6,-0.00436
10^4,-2.19042E-6,-2.19042E-6,-4.61258E-6,-2.4832E-6,-0.00419
10^4,-2.18149E-6,-2.18149E-6,-4.48114E-6,-2.26875E-6,-0.00402
10^4,-2.17154E-6,-2.17154E-6,-4.38849E-6,-2.07163E-6,-0.00386
10^4,-2.16295E-6,-2.16295E-6,-4.24565E-6,-1.87472E-6,-0.0037
10^4,-2.15015E-6,-2.15015E-6,-4.1281E-6,-1.70081E-6,-0.00354
10^4,-2.14246E-6,-2.14246E-6,-3.99357E-6,-1.50561E-6,-0.00339
10^4,-2.13072E-6,-2.13072E-6,-3.8776E-6,-1.33786E-6,-0.00324
10^4,-2.11726E-6,-2.11726E-6,-3.77503E-6,-1.16074E-6,-0.0031
10^4,-2.10891E-6,-2.10891E-6,-3.64899E-6,-1.00797E-6,-0.00295
10^4,-2.10271E-6,-2.10271E-6,-3.5397E-6,-5.65609E-7,-0.00281
10^4,-2.09704E-6,-2.09704E-6,-3.43001E-6,-9.63759E-7,-0.00269
10^4,-2.08178E-6,-2.08178E-6,-3.31671E-6,-8.24505E-7,-0.0026
10^4,-2.07298E-6,-2.07298E-6,-3.21386E-6,-7.82437E-7,-0.0025
10^4,-2.06082E-6,-2.06082E-6,-3.09065E-6,-5.81427E-7,-0.0024
10^4,-2.05336E-6,-2.05336E-6,-2.98648E-6,-3.81479E-7,-0.0023
10^4,-2.04279E-6,-2.04279E-6,-2.90035E-6,-2.65037E-7,-0.00221
10^4,-2.03329E-6,-2.03329E-6,-2.79124E-6,-1.28425E-7,-0.00212
10^4,-2.01861E-6,-2.01861E-6,-2.66539E-6,-1.38739E-8,-0.00202
10^4,-2.01063E-6,-2.01063E-6,-2.57356E-6,1.01794E-7,-0.00191
10^4,-2.00092E-6,-2.00092E-6,-2.55108E-6,4.57768E-7,-0.00181
10^4,-1.98659E-6,-1.98659E-6,-2.49396E-6,-2.4979E-9,-0.0017
10^4,-1.98232E-6,-1.98232E-6,-2.28894E-6,1.40559E-6,-0.00159
10^4,-1.97151E-6,-1.97151E-6,-2.174E-6,-2.16338E-9,-0.00147
10^4,-1.96438E-6,-1.96438E-6,-2.08731E-6,1.3001E-6,-0.00134
10^4,-1.94928E-6,-1.94928E-6,-2.01898E-6,-2.47467E-9,-0.00122
10^4,-1.94693E-6,-1.94693E-6,-1.89787E-6,-1.35062E-7,-0.0011
10^4,-1.94427E-6,-1.94427E-6,-1.78914E-6,-2.82685E-9,-9.76289E-4
10^4,-1.93254E-6,-1.93254E-6,-1.70645E-6,1.54393E-6,-8.6042E-4
10^4,-1.92171E-6,-1.92171E-6,-1.61566E-6,-2.29624E-7,-7.49769E-4
10^4,-1.91429E-6,-1.91429E-6,-1.5195E-6,2.35042E-7,-6.44712E-4
10^4,-1.90668E-6,-1.90668E-6,-1.44091E-6,4.18153E-7,-5.46497E-4
10^4,-1.89139E-6,-1.89139E-6,-1.44091E-6,5.57085E-7,-4.58206E-4
10^4,-1.88977E-6,-1.88977E-6,-1.44091E-6,6.63438E-7,-3.80399E-4
10^4,-1.88073E-6,-1.88073E-6,-1.44091E-6,7.5523E-7,-3.1042E-4
10^4,-1.87294E-6,-1.87294E-6,-1.35206E-6,8.31972E-7,-2.51102E-4
10^4,-1.86394E-6,-1.86394E-6,-1.35206E-6,8.86844E-7,-2.07273E-4
10^4,-1.85318E-6,-1.85318E-6,-1.35206E-6,9.28955E-7,-1.74454E-4
10^4,-1.8447E-6,-1.8447E-6,-1.44203E-6,9.80305E-7,-1.5125E-4
10^4,-1.8412E-6,-1.8412E-6,-1.44203E-6,9.70743E-7,-1.30958E-4
10^4,-1.83033E-6,-1.83033E-6,-1.44203E-6,1.0007E-6,-1.13598E-4
10^4,-1.82329E-6,-1.82329E-6,-1.44203E-6,1.02535E-6,-9.7037E-5
10^4,-1.81245E-6,-1.81245E-6,-1.44203E-6,1.04278E-6,-7.93469E-5
10^4,-1.805E-6,-1.805E-6,-9.45668E-7,7.52394E-7,-6.27948E-5
10^4,-1.7951E-6,-1.7951E-6,-7.85234E-7,9.87333E-7,-4.19838E-5
10^4,-1.7864E-6,-1.7864E-6,-7.4533E-7,1.0297E-6,-2.30694E-5
10^4,-1.77881E-6,-1.77881E-6,-6.61035E-7,1.47262E-6,-6.83906E-6
10^4,-1.76965E-6,-1.76965E-6,-5.66251E-7,1.73918E-7,5.83427E-6
10^4,-1.76396E-6,-1.76396E-6,-5.31264E-7,1.00113E-6,4.12235E-5
10^4,-1.75135E-6,-1.75135E-6,-4.29739E-7,1.04235E-6,9.01983E-5
10^4,-1.74935E-6,-1.74935E-6,-4.29739E-7,1.35714E-6,1.4589E-4
10^4,-1.74598E-6,-1.74598E-6,-3.3164E-7,2.81243E-7,2.11838E-4
10^4,-1.73116E-6,-1.73116E-6,-2.77258E-7,1.03283E-6,2.73248E-4
10^4,-1.72627E-6,-1.72627E-6,-2.08327E-7,1.04848E-6,3.18413E-4
10^4,-1.71987E-6,-1.71987E-6,-1.56434E-7,1.75429E-6,3.58832E-4
10^4,-1.70967E-6,-1.70967E-6,-1.14019E-7,1.92968E-7,4.14278E-4
10^4,-1.69836E-6,-1.69836E-6,-1.03617E-9,1.22645E-6,4.78849E-4
10^4,-1.6966E-6,-1.6966E-6,2.07672E-9,6.47003E-7,5.21543E-4
10^4,-1.67798E-6,-1.67798E-6,1.26206E-7,9.64996E-7,5.01807E-4
10^4,-1.6788E-6,-1.6788E-6,1.66118E-7,1.03888E-6,3.04193E-4
10^4,-1.66757E-6,-1.66757E-6,2.54022E-7,1.18042E-6,2.81271E-4
10^4,-1.65565E-6,-1.65565E-6,3.21121E-7,5.3445E-7,2.92351E-4
10^4,-1.65128E-6,-1.65128E-6,4.12622E-7,1.05E-6,3.08271E-4
10^4,-1.6465E-6,-1.6465E-6,4.12622E-7,1.62767E-6,3.30868E-4
10^4,-1.63561E-6,-1.63561E-6,5.20105E-7,1.02209E-6,3.24763E-4
10^4,-1.62895E-6,-1.62895E-6,6.23867E-7,1.07892E-6,3.45036E-4
10^4,-1.62701E-6,-1.62701E-6,7.36283E-7,1.13429E-6,3.91046E-4
10^4,-1.61418E-6,-1.61418E-6,7.36283E-7,1.1869E-6,4.4471E-4
10^4,-1.60443E-6,-1.60443E-6,7.36283E-7,1.25385E-6,5.00366E-4
10^4,-1.59334E-6,-1.59334E-6,8.43346E-7,1.29362E-6,5.55775E-4
10^4,-1.58446E-6,-1.58446E-6,8.43346E-7,1.36075E-6,6.34657E-4
10^4,-1.58158E-6,-1.58158E-6,8.95013E-7,1.4121E-6,7.17747E-4
10^4,-1.57519E-6,-1.57519E-6,9.68286E-7,1.35107E-6,7.98467E-4
10^4,-1.57039E-6,-1.57039E-6,9.96702E-7,1.45343E-6,8.74966E-4
10^4,-1.56206E-6,-1.56206E-6,1.02906E-6,1.48089E-6,9.49483E-4
10^4,-1.55594E-6,-1.55594E-6,1.04605E-6,1.55311E-6,0.00102
10^4,-1.55071E-6,-1.55071E-6,1.09882E-6,1.59835E-6,0.00108
10^4,-1.53909E-6,-1.53909E-6,1.16334E-6,1.67225E-6,0.00115
10^4,-1.52902E-6,-1.52902E-6,1.2001E-6,1.71969E-6,0.00123
10^4,-1.52194E-6,-1.52194E-6,1.26331E-6,1.76514E-6,0.00129
10^4,-1.5145E-6,-1.5145E-6,1.31684E-6,1.83753E-6,0.00135
10^4,-1.50458E-6,-1.50458E-6,1.35873E-6,1.88712E-6,0.00141
10^4,-1.49419E-6,-1.49419E-6,1.4217E-6,1.96498E-6,0.00144
10^4,-1.48696E-6,-1.48696E-6,1.46996E-6,2.00595E-6,0.00148
10^4,-1.48328E-6,-1.48328E-6,1.51325E-6,2.10389E-6,0.0015
10^4,-1.47677E-6,-1.47677E-6,1.51718E-6,2.18313E-6,0.00151
10^4,-1.47555E-6,-1.47555E-6,1.57979E-6,2.24977E-6,0.0015
10^4,-1.46218E-6,-1.46218E-6,1.6322E-6,2.35803E-6,0.00147
10^4,-1.45411E-6,-1.45411E-6,1.71393E-6,2.4266E-6,0.00144
10^4,-1.45315E-6,-1.45315E-6,1.76761E-6,2.55549E-6,0.0014
10^4,-1.44963E-6,-1.44963E-6,1.84279E-6,2.60193E-6,0.00137
10^4,-1.44164E-6,-1.44164E-6,1.89127E-6,2.72371E-6,0.00135
10^4,-1.42953E-6,-1.42953E-6,1.95711E-6,2.82001E-6,0.00133
10^4,-1.429E-6,-1.429E-6,2.02696E-6,2.98708E-6,0.00131
10^4,-1.42151E-6,-1.42151E-6,2.08074E-6,3.12654E-6,0.00129
10^4,-1.41478E-6,-1.41478E-6,2.147E-6,3.24788E-6,0.00128
10^4,-1.40502E-6,-1.40502E-6,2.20893E-6,3.42454E-6,0.00126
10^4,-1.39918E-6,-1.39918E-6,2.2617E-6,3.60595E-6,0.00125
10^4,-1.39501E-6,-1.39501E-6,2.33622E-6,3.81129E-6,0.00125
10^4,-1.38893E-6,-1.38893E-6,2.39854E-6,4.07769E-6,0.00125
10^4,-1.37818E-6,-1.37818E-6,2.46649E-6,4.36086E-6,0.00128
10^4,-1.37559E-6,-1.37559E-6,2.52579E-6,4.66808E-6,0.00129
10^4,-1.3662E-6,-1.3662E-6,2.61124E-6,4.98429E-6,0.0013
10^4,-1.36239E-6,-1.36239E-6,2.66076E-6,5.37128E-6,0.00133
10^4,-1.35192E-6,-1.35192E-6,2.71257E-6,5.75265E-6,0.00135
10^4,-1.34527E-6,-1.34527E-6,2.7406E-6,6.17185E-6,0.00138
10^4,-1.34139E-6,-1.34139E-6,2.87478E-6,6.61314E-6,0.00143
10^4,-1.33147E-6,-1.33147E-6,2.94092E-6,7.07005E-6,0.00147
10^4,-1.32876E-6,-1.32876E-6,3.02443E-6,7.56279E-6,0.00153
10^4,-1.32109E-6,-1.32109E-6,3.11206E-6,8.05386E-6,0.0016
10^4,-1.31002E-6,-1.31002E-6,3.19233E-6,8.57291E-6,0.00165
10^4,-1.30899E-6,-1.30899E-6,3.28821E-6,9.10172E-6,0.0017
10^4,-1.29861E-6,-1.29861E-6,3.37552E-6,9.62565E-6,0.00176
10^4,-1.2924E-6,-1.2924E-6,3.46698E-6,1.00189E-5,0.00182
10^4,-1.28484E-6,-1.28484E-6,3.55613E-6,1.05736E-5,0.00188
10^4,-1.28199E-6,-1.28199E-6,3.65564E-6,1.11559E-5,0.00195
10^4,-1.27024E-6,-1.27024E-6,3.75578E-6,1.17083E-5,0.00202
10^4,-1.26868E-6,-1.26868E-6,3.86178E-6,1.22808E-5,0.00209
10^4,-1.26166E-6,-1.26166E-6,3.98528E-6,1.28816E-5,0.00217
10^4,-1.25563E-6,-1.25563E-6,4.07983E-6,1.34867E-5,0.00223
10^4,-1.24613E-6,-1.24613E-6,4.1932E-6,1.41088E-5,0.00231
10^4,-1.23675E-6,-1.23675E-6,4.30241E-6,1.47648E-5,0.00238
10^4,-1.23078E-6,-1.23078E-6,4.41737E-6,1.54465E-5,0.00246
10^4,-1.2307E-6,-1.2307E-6,4.54617E-6,1.61559E-5,0.00253
10^4,-1.22279E-6,-1.22279E-6,4.68202E-6,1.69207E-5,0.00261
10^4,-1.21999E-6,-1.21999E-6,4.80018E-6,1.77459E-5,0.00279
10^4,-1.2076E-6,-1.2076E-6,4.92934E-6,1.8639E-5,0.00292
10^4,-1.20446E-6,-1.20446E-6,5.0807E-6,1.96205E-5,0.00304
10^4,-1.19777E-6,-1.19777E-6,5.22786E-6,2.07053E-5,0.00316
10^4,-1.18563E-6,-1.18563E-6,5.38381E-6,2.1911E-5,0.00327
10^4,-1.18578E-6,-1.18578E-6,5.54316E-6,2.32106E-5,0.00336
10^4,-1.17646E-6,-1.17646E-6,5.70109E-6,2.46248E-5,0.00344
10^4,-1.16697E-6,-1.16697E-6,5.88047E-6,2.60271E-5,0.00354
10^4,-1.16234E-6,-1.16234E-6,6.04666E-6,2.75974E-5,0.00364
10^4,-1.15698E-6,-1.15698E-6,6.23053E-6,2.92255E-5,0.00374
10^4,-1.14915E-6,-1.14915E-6,6.41967E-6,3.09129E-5,0.00383
10^4,-1.14854E-6,-1.14854E-6,6.60337E-6,3.26535E-5,0.00395
10^4,-1.14135E-6,-1.14135E-6,6.81989E-6,3.44305E-5,0.00403
10^4,-1.13311E-6,-1.13311E-6,7.0361E-6,3.62392E-5,0.00411
10^4,-1.12774E-6,-1.12774E-6,7.26705E-6,3.80515E-5,0.00418
10^4,-1.11693E-6,-1.11693E-6,7.50317E-6,3.99107E-5,0.0043
10^4,-1.11696E-6,-1.11696E-6,7.75654E-6,4.18311E-5,0.00442
10^4,-1.10249E-6,-1.10249E-6,7.99519E-6,4.37755E-5,0.00456
10^4,-1.10676E-6,-1.10676E-6,8.27338E-6,4.57931E-5,0.00459
10^4,-1.09475E-6,-1.09475E-6,8.58107E-6,4.78503E-5,0.00466
10^4,-1.0939E-6,-1.0939E-6,8.84366E-6,4.97619E-5,0.00472
10^4,-1.08675E-6,-1.08675E-6,9.16402E-6,5.19238E-5,0.00477
10^4,-1.07686E-6,-1.07686E-6,9.47052E-6,5.42069E-5,0.00484
10^4,-1.07369E-6,-1.07369E-6,9.7643E-6,5.66193E-5,0.00489
10^4,-1.06708E-6,-1.06708E-6,1.00571E-5,5.91671E-5,0.00494
10^4,-1.05827E-6,-1.05827E-6,1.03513E-5,6.1835E-5,0.00499
10^4,-1.05591E-6,-1.05591E-6,1.07472E-5,6.46419E-5,0.00502
10^4,-1.04943E-6,-1.04943E-6,1.11332E-5,6.76027E-5,0.00506
10^4,-1.04302E-6,-1.04302E-6,1.14291E-5,7.07077E-5,0.0051
10^4,-1.03582E-6,-1.03582E-6,1.18172E-5,7.39901E-5,0.0051
10^4,-1.03507E-6,-1.03507E-6,1.21953E-5,7.74208E-5,0.00517
10^4,-1.02466E-6,-1.02466E-6,1.21953E-5,8.10087E-5,0.0052
10^4,-1.01571E-6,-1.01571E-6,1.21953E-5,8.48084E-5,0.00524
10^4,-1.01299E-6,-1.01299E-6,1.21953E-5,8.87513E-5,0.00527
10^4,-1.00359E-6,-1.00359E-6,1.21953E-5,8.37843E-5,0.0053
10^4,-1.01887E-6,-1.01887E-6,1.21953E-5,7.88339E-5,0.00536
10^4,-1.02952E-6,-1.02952E-6,1.18317E-5,7.41755E-5,0.00523
10^4,-1.04397E-6,-1.04397E-6,1.14077E-5,6.96792E-5,0.00512
10^4,-1.04279E-6,-1.04279E-6,1.10012E-5,6.57048E-5,0.00502
10^4,-1.05899E-6,-1.05899E-6,1.06077E-5,6.20763E-5,0.00493
10^4,-1.06522E-6,-1.06522E-6,1.03146E-5,5.86999E-5,0.00484
10^4,-1.07793E-6,-1.07793E-6,1.02283E-5,5.5562E-5,0.00476
10^4,-1.07735E-6,-1.07735E-6,1.01488E-5,5.2609E-5,0.00469
10^4,-1.08593E-6,-1.08593E-6,9.17506E-6,4.97911E-5,0.00463
10^4,-1.09662E-6,-1.09662E-6,8.83731E-6,4.70709E-5,0.00457
10^4,-1.09981E-6,-1.09981E-6,8.50775E-6,4.4436E-5,0.00452
10^4,-1.11047E-6,-1.11047E-6,8.20851E-6,4.18646E-5,0.00446
10^4,-1.11669E-6,-1.11669E-6,7.91323E-6,3.93678E-5,0.0044
10^4,-1.13146E-6,-1.13146E-6,7.62992E-6,3.69248E-5,0.00436
10^4,-1.13487E-6,-1.13487E-6,7.36001E-6,3.45712E-5,0.0043
10^4,-1.14217E-6,-1.14217E-6,7.09702E-6,3.23093E-5,0.00425
10^4,-1.14714E-6,-1.14714E-6,6.84112E-6,3.01434E-5,0.0042
10^4,-1.16264E-6,-1.16264E-6,6.59736E-6,2.81011E-5,0.00414
10^4,-1.15818E-6,-1.15818E-6,6.3618E-6,2.61642E-5,0.00408
10^4,-1.16398E-6,-1.16398E-6,6.13375E-6,2.43574E-5,0.00401
10^4,-1.17469E-6,-1.17469E-6,5.91259E-6,2.26631E-5,0.00396
10^4,-1.17955E-6,-1.17955E-6,5.69467E-6,2.09877E-5,0.00389
10^4,-1.18821E-6,-1.18821E-6,5.50495E-6,1.95247E-5,0.00383
10^4,-1.18936E-6,-1.18936E-6,5.2949E-6,1.81434E-5,0.00376
10^4,-1.20263E-6,-1.20263E-6,5.09844E-6,1.68528E-5,0.00368
10^4,-1.21084E-6,-1.21084E-6,4.90282E-6,1.56513E-5,0.0036
10^4,-1.212E-6,-1.212E-6,4.71081E-6,1.45102E-5,0.00352
10^4,-1.22274E-6,-1.22274E-6,4.52764E-6,1.34549E-5,0.00345
10^4,-1.22757E-6,-1.22757E-6,4.35174E-6,1.24721E-5,0.00337
10^4,-1.2379E-6,-1.2379E-6,4.19351E-6,1.15634E-5,0.00329
10^4,-1.24209E-6,-1.24209E-6,4.0045E-6,1.07148E-5,0.00321
10^4,-1.25347E-6,-1.25347E-6,3.85328E-6,1.01011E-5,0.00314
10^4,-1.26072E-6,-1.26072E-6,3.68405E-6,1.02276E-5,0.00305
10^4,-1.26351E-6,-1.26351E-6,3.52293E-6,8.4898E-6,0.00297
10^4,-1.26986E-6,-1.26986E-6,3.36145E-6,7.82408E-6,0.00289
10^4,-1.27914E-6,-1.27914E-6,3.2036E-6,7.20263E-6,0.00281
10^4,-1.28481E-6,-1.28481E-6,3.06502E-6,6.63057E-6,0.00273
10^4,-1.28471E-6,-1.28471E-6,2.91809E-6,6.08388E-6,0.00265
10^4,-1.30177E-6,-1.30177E-6,2.76854E-6,5.60426E-6,0.00257
10^4,-1.30704E-6,-1.30704E-6,2.64504E-6,5.06899E-6,0.00248
10^4,-1.3156E-6,-1.3156E-6,2.50101E-6,4.59164E-6,0.0024
10^4,-1.31516E-6,-1.31516E-6,2.35742E-6,4.147E-6,0.00233
10^4,-1.32864E-6,-1.32864E-6,2.25329E-6,3.74138E-6,0.00226
10^4,-1.33096E-6,-1.33096E-6,2.11427E-6,3.3249E-6,0.00218
10^4,-1.33258E-6,-1.33258E-6,1.99665E-6,2.94977E-6,0.00211
10^4,-1.34431E-6,-1.34431E-6,1.87561E-6,2.6077E-6,0.00204
10^4,-1.35175E-6,-1.35175E-6,1.80326E-6,2.26996E-6,0.00198
10^4,-1.35108E-6,-1.35108E-6,1.75551E-6,1.9551E-6,0.00191
10^4,-1.36108E-6,-1.36108E-6,1.69823E-6,1.65525E-6,0.00185
10^4,-1.36152E-6,-1.36152E-6,1.69823E-6,1.37271E-6,0.00179
10^4,-1.37708E-6,-1.37708E-6,1.69823E-6,1.10245E-6,0.00174
10^4,-1.3768E-6,-1.3768E-6,1.69823E-6,5.61082E-7,0.00169
10^4,-1.38294E-6,-1.38294E-6,1.54892E-6,8.39142E-7,0.00165
10^4,-1.39258E-6,-1.39258E-6,1.42673E-6,4.97708E-7,0.00164
10^4,-1.40317E-6,-1.40317E-6,1.30918E-6,1.46196E-7,0.00161
10^4,-1.40309E-6,-1.40309E-6,1.18746E-6,-1.3947E-7,0.00159
10^4,-1.40965E-6,-1.40965E-6,1.07204E-6,-4.52304E-7,0.00163
10^4,-1.41896E-6,-1.41896E-6,8.80487E-7,-8.18453E-7,0.00158
10^4,-1.42588E-6,-1.42588E-6,8.75141E-7,-9.92338E-7,0.00151
10^4,-1.43384E-6,-1.43384E-6,7.70654E-7,-1.46278E-6,0.00144
10^4,-1.43678E-6,-1.43678E-6,7.11776E-7,-1.39323E-6,0.00139
10^4,-1.43776E-6,-1.43776E-6,5.84872E-7,-1.38013E-6,0.0013
10^4,-1.44694E-6,-1.44694E-6,4.72013E-7,-1.09591E-6,0.00122
10^4,-1.45365E-6,-1.45365E-6,4.72013E-7,-1.33199E-6,0.00114
10^4,-1.46187E-6,-1.46187E-6,3.93062E-7,-1.53667E-6,0.00106
10^4,-1.46852E-6,-1.46852E-6,2.94691E-7,-1.66426E-6,9.87489E-4
10^4,-1.47733E-6,-1.47733E-6,2.25129E-7,-1.86494E-6,8.99891E-4
10^4,-1.4785E-6,-1.4785E-6,1.52066E-7,-2.03277E-6,8.18894E-4
10^4,-1.48155E-6,-1.48155E-6,1.06435E-7,-2.20491E-6,7.52945E-4
10^4,-1.48778E-6,-1.48778E-6,-1.17483E-9,-2.38286E-6,6.96995E-4
10^4,-1.49504E-6,-1.49504E-6,-1.23215E-9,-2.521E-6,6.35202E-4
10^4,-1.50231E-6,-1.50231E-6,-1.28238E-8,-2.68135E-6,5.77184E-4
10^4,-1.50967E-6,-1.50967E-6,-6.52664E-8,-2.84895E-6,5.22106E-4
10^4,-1.51427E-6,-1.51427E-6,-1.59548E-7,-2.98223E-6,4.7243E-4
10^4,-1.51985E-6,-1.51985E-6,-2.00316E-7,-3.13893E-6,4.19934E-4
10^4,-1.5277E-6,-1.5277E-6,-2.11371E-7,-3.30067E-6,3.7266E-4
10^4,-1.53266E-6,-1.53266E-6,-3.30409E-7,-3.43242E-6,3.29575E-4
10^4,-1.53736E-6,-1.53736E-6,-4.38913E-7,-3.57701E-6,2.86459E-4
10^4,-1.54263E-6,-1.54263E-6,-5.65915E-7,-3.71059E-6,2.52267E-4
10^4,-1.5485E-6,-1.5485E-6,-6.72112E-7,-3.84274E-6,2.15417E-4
10^4,-1.55185E-6,-1.55185E-6,-8.32511E-7,-3.99039E-6,1.83157E-4
10^4,-1.55601E-6,-1.55601E-6,-9.40453E-7,-4.11241E-6,1.55099E-4
10^4,-1.56897E-6,-1.56897E-6,-9.76154E-7,-4.24985E-6,1.31206E-4
10^4,-1.56814E-6,-1.56814E-6,-1.01593E-6,-4.39312E-6,1.0997E-4
10^4,-1.57157E-6,-1.57157E-6,-1.04288E-6,-4.46907E-6,9.33926E-5
10^4,-1.5777E-6,-1.5777E-6,-1.05E-6,-4.61732E-6,7.18733E-5
10^4,-1.58214E-6,-1.58214E-6,-1.23704E-6,-4.75894E-6,3.9006E-5
10^4,-1.58695E-6,-1.58695E-6,-1.28224E-6,-4.89242E-6,3.45617E-5
10^4,-1.59773E-6,-1.59773E-6,-1.32064E-6,-5.01786E-6,-1.90266E-5
10^4,-1.6021E-6,-1.6021E-6,-1.39585E-6,-5.14269E-6,-9.54708E-5
10^4,-1.60961E-6,-1.60961E-6,-1.45477E-6,-5.26562E-6,-1.51673E-4
10^4,-1.61246E-6,-1.61246E-6,-1.50382E-6,-5.38542E-6,-1.92233E-4
10^4,-1.6134E-6,-1.6134E-6,-1.50382E-6,-5.50717E-6,-1.99354E-4
10^4,-1.62326E-6,-1.62326E-6,-1.56316E-6,-5.62166E-6,-2.02931E-4
10^4,-1.63264E-6,-1.63264E-6,-1.61883E-6,-5.74191E-6,-2.1463E-4
10^4,-1.63291E-6,-1.63291E-6,-1.68341E-6,-5.81301E-6,-2.1124E-4
10^4,-1.63749E-6,-1.63749E-6,-1.75388E-6,-5.94667E-6,-2.11086E-4
10^4,-1.64347E-6,-1.64347E-6,-1.80503E-6,-5.84212E-6,-2.10286E-4
10^4,-1.64984E-6,-1.64984E-6,-1.87045E-6,-6.06471E-6,-1.88655E-4
10^4,-1.65712E-6,-1.65712E-6,-1.93977E-6,-6.2082E-6,-1.94406E-4
10^4,-1.66848E-6,-1.66848E-6,-2.00001E-6,-6.33161E-6,-2.032E-4
10^4,-1.67622E-6,-1.67622E-6,-2.05366E-6,-6.3677E-6,-2.15142E-4
10^4,-1.67987E-6,-1.67987E-6,-2.12771E-6,-6.51124E-6,-2.3868E-4
10^4,-1.68257E-6,-1.68257E-6,-2.17268E-6,-6.6441E-6,-2.29887E-4
10^4,-1.68705E-6,-1.68705E-6,-2.22441E-6,-6.76032E-6,-2.13633E-4
10^4,-1.6906E-6,-1.6906E-6,-2.31615E-6,-6.8849E-6,-2.46133E-4
