Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-1.76344E-6,-1.43979E-6,-1.67576E-6,-3.81926E-7,-9.15616E-4
10^4,-1.75399E-6,-1.41816E-6,-1.56389E-6,-3.148E-7,-8.2021E-4
10^4,-1.75067E-6,-1.38522E-6,-1.482E-6,-1.97922E-7,-7.31018E-4
10^4,-1.73983E-6,-1.36239E-6,-1.482E-6,-1.28005E-7,-6.49333E-4
10^4,-1.73029E-6,-1.35203E-6,-1.482E-6,-1.07714E-7,-5.69214E-4
10^4,-1.72411E-6,-1.34154E-6,-1.482E-6,-3.61747E-7,-4.9682E-4
10^4,-1.72296E-6,-1.30032E-6,-1.37931E-6,-1.39249E-7,-4.24819E-4
10^4,-1.71411E-6,-1.27572E-6,-1.28004E-6,-1.65565E-6,-3.57882E-4
10^4,-1.70527E-6,-1.24467E-6,-1.1949E-6,-3.1592E-7,-3.05862E-4
10^4,-1.69914E-6,-1.21818E-6,-1.13547E-6,-4.80743E-7,-2.59901E-4
10^4,-1.69153E-6,-1.19934E-6,-1.03267E-6,-1.63295E-7,-2.28378E-4
10^4,-1.67668E-6,-1.1737E-6,-1.02244E-6,-1.23351E-9,-1.96183E-4
10^4,-1.67099E-6,-1.15147E-6,-9.56508E-7,-3.25368E-8,-1.63962E-4
10^4,-1.67083E-6,-1.12454E-6,-9.00279E-7,-1.20912E-7,-1.34827E-4
10^4,-1.65688E-6,-1.12454E-6,-8.15845E-7,-1.0488E-6,-1.09324E-4
10^4,-1.6472E-6,-1.1051E-6,-7.35828E-7,-4.1352E-7,-8.74073E-5
10^4,-1.64001E-6,-1.08103E-6,-6.51031E-7,-1.77355E-9,-6.2637E-5
10^4,-1.62675E-6,-1.05632E-6,-5.68344E-7,1.10201E-6,-3.79746E-5
10^4,-1.62645E-6,-1.0391E-6,-5.68344E-7,2.03651E-7,-1.44565E-5
10^4,-1.61234E-6,-1.01386E-6,-4.83511E-7,2.82679E-7,-1.80453E-5
10^4,-1.60659E-6,-1.00148E-6,-4.00709E-7,4.49281E-7,4.64542E-5
10^4,-1.60087E-6,-9.76328E-7,-3.19752E-7,6.439E-7,1.27948E-4
10^4,-1.59499E-6,-9.61821E-7,-2.49435E-7,8.09838E-7,2.09481E-4
10^4,-1.59074E-6,-9.59081E-7,-1.83245E-7,8.61614E-7,2.80501E-4
10^4,-1.5821E-6,-9.50301E-7,-1.18627E-7,9.54576E-7,3.31653E-4
10^4,-1.57138E-6,-9.27872E-7,2.19904E-9,1.00109E-6,3.38973E-4
10^4,-1.56665E-6,-9.03319E-7,2.19904E-9,1.02664E-6,3.4297E-4
10^4,-1.56194E-6,-9.03319E-7,1.61074E-8,1.45691E-6,3.76582E-4
10^4,-1.55111E-6,-8.83167E-7,1.78112E-8,1.11077E-6,4.33234E-4
10^4,-1.54627E-6,-8.6183E-7,2.16875E-7,4.52413E-7,4.9022E-4
10^4,-1.5436E-6,-8.40456E-7,3.05662E-7,9.93167E-7,5.12586E-4
10^4,-1.53242E-6,-8.18776E-7,4.53937E-7,1.5248E-6,5.33465E-4
10^4,-1.52018E-6,-7.98157E-7,5.05298E-7,1.09588E-6,5.13538E-4
10^4,-1.50701E-6,-7.74811E-7,6.03725E-7,1.26038E-6,4.95418E-4
10^4,-1.50653E-6,-7.52631E-7,7.21929E-7,1.28675E-7,5.20092E-4
10^4,-1.50058E-6,-7.30777E-7,7.21929E-7,1.03805E-6,5.34273E-4
10^4,-1.48971E-6,-7.1195E-7,8.50381E-7,1.63696E-6,5.41186E-4
10^4,-1.48198E-6,-6.90857E-7,9.47194E-7,1.533E-6,5.47074E-4
10^4,-1.48009E-6,-6.71055E-7,9.9323E-7,1.37563E-6,4.82341E-4
10^4,-1.46821E-6,-6.52035E-7,1.0176E-6,1.10923E-6,5.15766E-4
10^4,-1.4646E-6,-6.32049E-7,1.02257E-6,6.46307E-7,4.97707E-4
10^4,-1.45398E-6,-6.06323E-7,1.07912E-6,1.07863E-6,5.34106E-4
10^4,-1.45375E-6,-5.91345E-7,1.1442E-6,1.03998E-6,5.96835E-4
10^4,-1.44243E-6,-5.72614E-7,1.20806E-6,1.10774E-6,6.6607E-4
10^4,-1.43263E-6,-5.53611E-7,1.24897E-6,1.22018E-6,7.35859E-4
10^4,-1.42698E-6,-5.34374E-7,1.33292E-6,1.29578E-6,8.07091E-4
10^4,-1.41685E-6,-5.14689E-7,1.33292E-6,1.33909E-6,8.76489E-4
10^4,-1.41437E-6,-4.95286E-7,1.36608E-6,1.44489E-6,9.41876E-4
10^4,-1.40601E-6,-4.74114E-7,1.42649E-6,1.48852E-6,0.001
10^4,-1.39795E-6,-4.53605E-7,1.4737E-6,1.53696E-6,0.00103
10^4,-1.39521E-6,-4.32761E-7,1.50919E-6,1.49082E-6,0.00109
10^4,-1.3879E-6,-4.119E-7,1.52683E-6,1.60379E-6,0.00114
10^4,-1.37765E-6,-3.90746E-7,1.66087E-6,1.67651E-6,0.00118
10^4,-1.37476E-6,-3.67563E-7,1.71436E-6,1.78649E-6,0.00121
10^4,-1.36518E-6,-3.44172E-7,1.74118E-6,1.8437E-6,0.00122
10^4,-1.35626E-6,-3.22842E-7,1.8053E-6,1.8839E-6,0.00122
10^4,-1.35022E-6,-3.00064E-7,1.87382E-6,2.02005E-6,0.0012
10^4,-1.34419E-6,-2.77905E-7,1.93041E-6,2.06626E-6,0.00117
10^4,-1.33541E-6,-2.7436E-7,1.99257E-6,2.12935E-6,0.00113
10^4,-1.33157E-6,-2.39825E-7,2.06998E-6,2.28484E-6,0.00111
10^4,-1.32696E-6,-2.12943E-7,2.13287E-6,2.31636E-6,0.00108
10^4,-1.31981E-6,-1.92688E-7,2.18406E-6,2.39624E-6,0.00107
10^4,-1.31627E-6,-1.92688E-7,2.26807E-6,2.54996E-6,0.00106
10^4,-1.30936E-6,-1.69813E-7,2.33187E-6,2.56855E-6,0.00104
10^4,-1.30173E-6,-1.50447E-7,2.39436E-6,2.68542E-6,0.00103
10^4,-1.2938E-6,-1.30338E-7,2.50004E-6,2.8356E-6,0.00102
10^4,-1.28694E-6,-1.30113E-7,2.55739E-6,2.86799E-6,0.00101
10^4,-1.28301E-6,-1.14613E-7,2.61446E-6,3.01613E-6,0.001
10^4,-1.27333E-6,-1.07937E-7,2.72946E-6,3.13769E-6,9.68862E-4
10^4,-1.26698E-6,-3.60369E-9,2.78196E-6,3.17655E-6,9.73536E-4
10^4,-1.26581E-6,-2.48366E-9,2.86555E-6,3.28492E-6,9.69438E-4
10^4,-1.25553E-6,-1.56846E-9,2.97009E-6,3.45577E-6,9.65937E-4
10^4,-1.25086E-6,-1.27065E-9,3.02654E-6,3.56842E-6,9.76854E-4
10^4,-1.24298E-6,1.17573E-9,3.13819E-6,3.67722E-6,9.69884E-4
10^4,-1.2366E-6,2.72102E-9,3.23611E-6,3.84469E-6,9.66981E-4
10^4,-1.23524E-6,2.99819E-9,3.29559E-6,3.96134E-6,9.63831E-4
10^4,-1.22577E-6,2.99819E-9,3.41835E-6,4.09605E-6,9.66108E-4
10^4,-1.21894E-6,1.04533E-8,3.50859E-6,4.25496E-6,0.00102
